Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAKYQ	2059	351	2	3	1	1702	115	0	0	0
bcAMKN	2058	388	18	18	1	1633	121	0	0	0
bcBJIN	2056	378	3	13	1	1661	120	0	0	0
bcACTO	2052	386	14	22	0	1630	136	0	0	0
bcBWJJ	2048	418	1	19	0	1610	131	0	0	0
bcAHCL	2047	288	5	9	0	1745	82	0	0	0
bcABTJ	2041	401	3	17	1	1619	101	0	0	0
bcACJZ	2040	311	2	32	0	1695	106	0	0	0
bcBNVD	2039	271	11	20	0	1737	102	0	0	0
bcAPSM	2035	378	5	22	0	1630	111	0	0	0
bcAICZ	2034	367	4	25	0	1638	124	0	0	0
bcBPKK	2034	300	1	9	0	1724	100	0	0	0
bcAOMY	2033	518	3	17	0	1495	142	0	0	0
bcAAHA	2032	320	8	19	0	1685	92	0	0	0
bcAZOR	2029	252	9	10	0	1758	89	0	0	0
bcBMTQ	2025	377	8	20	0	1620	126	0	0	0
bcAYXE	2023	290	14	44	0	1675	103	0	0	0
bcBTTE	2023	401	8	10	0	1604	129	0	0	0
bcBCMG	2018	331	2	7	0	1678	104	0	0	0
bcAFRC	2013	386	5	47	1	1574	107	0	0	0
bcBMQK	2010	372	19	25	0	1594	126	0	0	0
bcBVLF	2007	390	2	16	0	1599	125	0	0	0
bcBLDL	2006	334	14	33	0	1625	110	0	0	0
bcAAWS	2005	494	13	18	0	1480	135	0	0	0
bcARUQ	2001	379	3	6	0	1613	116	0	0	0
bcBCTW	2000	1140	20	21	0	819	301	0	0	0
bcAZRR	1989	214	5	12	2	1756	86	0	0	0
bcBYEN	1988	396	7	22	0	1563	119	0	0	0
bcBXEG	1988	424	9	14	0	1541	127	0	0	0
bcBYQR	1987	278	13	27	0	1669	107	0	0	0
bcBMQQ	1986	373	12	9	1	1591	126	0	0	0
bcAOAU	1982	320	3	38	0	1621	114	0	0	0
bcAAAS	1982	299	3	5	0	1675	81	0	0	0
bcAAAQ	1976	374	11	14	0	1577	118	0	0	0
bcAXFM	1975	437	12	14	0	1512	148	0	0	0
bcBSTN	1975	295	20	41	0	1619	105	0	0	0
bcANGC	1973	390	16	21	0	1546	112	0	0	0
bcAAAK	1970	295	3	14	0	1658	104	0	0	0
bcBTFJ	1968	314	6	26	0	1622	119	0	0	0
bcCAPQ	1967	359	2	26	0	1580	122	0	0	0
bcBMWB	1966	378	5	5	0	1578	123	0	0	0
bcAGKL	1966	354	16	5	0	1591	133	0	0	0
bcAWQC	1962	256	2	21	0	1683	75	0	0	0
bcBNZV	1957	382	7	16	1	1551	110	0	0	0
bcAPJF	1952	321	3	20	0	1608	113	0	0	0
bcBEJI	1952	272	6	20	0	1654	100	0	0	0
bcBAIK	1952	327	10	5	0	1610	117	0	0	0
bcAAWU	1951	436	10	18	0	1487	147	0	0	0
bcAFXU	1950	385	9	20	1	1535	148	0	0	0
bcBSSL	1947	337	4	47	0	1559	108	0	0	0
bcBCHC	1946	314	2	17	1	1612	84	0	0	0
bcAGKE	1946	278	3	26	0	1639	87	0	0	0
bcCAAS	1946	363	13	9	0	1561	120	0	0	0
bcAXVH	1943	281	1	8	0	1653	96	0	0	0
bcAIDZ	1942	379	4	9	1	1549	129	0	0	0
bcAJNA	1941	429	4	16	0	1492	129	0	0	0
bcBZKY	1940	364	7	16	0	1553	111	0	0	0
bcBSEX	1939	376	6	15	0	1542	112	0	0	0
bcBIPI	1933	346	2	12	0	1573	113	0	0	0
bcBOZE	1932	369	3	13	0	1547	122	0	0	0
bcBYGG	1929	336	7	28	0	1558	114	0	0	0
bcBRBV	1928	394	2	19	0	1513	146	0	0	0
bcAZIE	1927	346	8	19	1	1553	109	0	0	0
bcBDWH	1925	342	5	13	0	1565	109	0	0	0
bcAOOP	1924	241	4	15	0	1664	100	0	0	0
bcAVGH	1924	467	6	25	0	1426	136	0	0	0
bcBMHV	1923	403	4	5	0	1511	122	0	0	0
bcBJHC	1922	371	6	11	0	1534	110	0	0	0
bcBYXQ	1921	229	5	20	0	1667	93	0	0	0
bcBEDJ	1919	411	10	15	1	1482	135	0	0	0
bcAGKM	1919	386	4	24	0	1505	104	0	0	0
bcAHTU	1918	346	5	24	0	1543	128	0	0	0
bcAJSW	1917	425	3	13	0	1476	138	0	0	0
bcAUGV	1917	390	1	8	0	1518	120	0	0	0
bcAFII	1917	353	7	16	0	1541	117	0	0	0
bcAHJA	1917	309	7	15	1	1585	106	0	0	0
bcATMT	1916	316	3	7	0	1590	83	0	0	0
bcBIZN	1913	358	31	9	0	1515	106	0	0	0
bcACNS	1913	288	1	6	0	1618	95	0	0	0
bcBTRA	1913	241	5	8	1	1658	110	0	0	0
bcBLEW	1912	386	7	12	0	1507	118	0	0	0
bcARVQ	1910	269	14	9	0	1618	101	0	0	0
bcARPC	1909	391	3	29	0	1486	125	0	0	0
bcAIUJ	1909	362	16	5	0	1526	97	0	0	0
bcAHPI	1908	347	12	12	0	1537	117	0	0	0
bcBMQW	1907	332	25	10	0	1540	107	0	0	0
bcBTND	1904	275	1	18	0	1610	89	0	0	0
bcARQO	1903	307	3	19	0	1574	104	0	0	0
bcAPKJ	1901	356	7	19	0	1519	114	0	0	0
bcBVAL	1901	281	10	7	0	1603	121	0	0	0
bcAZNZ	1900	388	5	17	0	1490	139	0	0	0
bcBWYP	1899	278	5	13	0	1603	123	0	0	0
bcBMUE	1899	383	8	6	1	1501	103	0	0	0
