Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAKYQ	2059	910	10	126	2	1011	289	0	0	0
bcAMKN	2059	848	36	87	9	1079	260	0	0	0
bcBJIN	2055	766	19	104	1	1165	231	0	0	0
bcACTO	2052	841	3	126	2	1080	313	0	0	0
bcBWJJ	2048	766	6	136	3	1137	283	0	0	0
bcAHCL	2047	921	2	100	0	1024	241	0	0	0
bcABTJ	2041	747	22	70	5	1197	242	0	0	0
bcACJZ	2040	865	7	84	4	1080	254	0	0	0
bcBNVD	2039	784	4	88	1	1162	220	0	0	0
bcAPSM	2035	857	5	155	2	1016	279	0	0	0
bcAICZ	2034	890	9	142	3	990	265	0	0	0
bcBPKK	2034	893	10	78	2	1051	261	0	0	0
bcAOMY	2033	575	6	60	1	1391	205	0	0	0
bcAAHA	2032	763	10	122	1	1136	214	0	0	0
bcAZOR	2029	794	8	89	2	1136	225	0	0	0
bcBMTQ	2025	851	6	72	3	1093	272	0	0	0
bcAYXE	2023	869	32	95	0	1027	259	0	0	0
bcBTTE	2023	803	9	109	0	1102	234	0	0	0
bcBCMG	2018	831	8	94	0	1085	275	0	0	0
bcAFRC	2013	820	3	96	3	1091	239	0	0	0
bcBMQK	2010	890	6	60	4	1050	248	0	0	0
bcBVLF	2007	919	7	74	1	1006	248	0	0	0
bcBLDL	2006	812	3	94	6	1091	229	0	0	0
bcAAWS	2005	672	14	105	5	1209	237	0	0	0
bcARUQ	2002	832	4	65	2	1099	227	0	0	0
bcBCTW	2000	51	1	11	0	1937	31	0	0	0
bcAZRR	1989	883	5	45	2	1054	243	0	0	0
bcBYEN	1988	747	4	63	1	1173	210	0	0	0
bcBXEG	1988	837	12	119	4	1016	266	0	0	0
bcBYQR	1987	898	15	103	2	969	247	0	0	0
bcBMQQ	1986	851	6	85	2	1042	248	0	0	0
bcAOAU	1982	844	3	61	4	1070	242	0	0	0
bcAAAS	1983	815	10	99	2	1057	225	0	0	0
bcAAAQ	1976	745	2	93	5	1131	234	0	0	0
bcAXFM	1975	804	6	99	0	1066	250	0	0	0
bcBSTN	1975	768	19	77	3	1108	225	0	0	0
bcANGC	1973	764	12	88	2	1107	228	0	0	0
bcAAAK	1970	775	4	110	2	1079	245	0	0	0
bcBTFJ	1968	870	4	67	2	1025	243	0	0	0
bcCAPQ	1967	876	7	59	2	1023	279	0	0	0
bcBMWB	1966	823	2	51	4	1086	259	0	0	0
bcAGKL	1966	700	11	99	2	1154	235	0	0	0
bcAWQC	1962	872	19	85	2	984	238	0	0	0
bcBNZV	1957	714	17	89	4	1133	210	0	0	0
bcAPJF	1952	866	25	78	2	981	259	0	0	0
bcBEJI	1952	842	16	108	2	984	280	0	0	0
bcBAIK	1952	853	6	78	6	1009	221	0	0	0
bcAAWU	1951	675	6	78	3	1189	243	0	0	0
bcAFXU	1950	856	9	79	5	1001	315	0	0	0
bcBSSL	1947	662	25	96	2	1162	234	0	0	0
bcBCHC	1946	818	13	106	1	1008	234	0	0	0
bcAGKE	1946	935	3	110	1	897	295	0	0	0
bcCAAS	1946	708	28	143	3	1064	221	0	0	0
bcAXVH	1943	798	3	89	4	1049	231	0	0	0
bcAIDZ	1942	841	2	93	5	1001	244	0	0	0
bcAJNA	1941	677	29	119	5	1111	234	0	0	0
bcBZKY	1941	782	6	110	3	1040	253	0	0	0
bcBSEX	1939	693	5	115	5	1121	191	0	0	0
bcBIPI	1933	848	1	83	0	1001	249	0	0	0
bcBOZE	1932	704	3	91	1	1133	234	0	0	0
bcBYGG	1929	823	3	81	0	1022	215	0	0	0
bcBRBV	1928	789	6	74	3	1056	253	0	0	0
bcAZIE	1927	846	7	88	1	985	272	0	0	0
bcBDWH	1925	792	11	91	5	1026	242	0	0	0
bcAOOP	1924	895	8	39	2	980	278	0	0	0
bcAVGH	1924	554	12	64	2	1292	199	0	0	0
bcBMHV	1923	703	15	122	1	1082	273	0	0	0
bcBJHC	1922	750	6	86	0	1080	234	0	0	0
bcBYXQ	1921	991	15	67	2	846	259	0	0	0
bcBEDJ	1919	762	3	82	4	1068	264	0	0	0
bcAGKM	1919	723	21	93	23	1059	218	0	0	0
bcAHTU	1918	668	4	91	2	1153	258	0	0	0
bcAJSW	1917	710	4	108	1	1094	252	0	0	0
bcAUGV	1917	765	4	108	3	1037	230	0	0	0
bcAFII	1917	673	2	76	2	1164	238	0	0	0
bcAHJA	1917	743	3	70	0	1101	248	0	0	0
bcATMT	1916	744	11	96	1	1064	226	0	0	0
bcBIZN	1913	731	14	81	3	1084	212	0	0	0
bcACNS	1913	790	8	99	3	1013	236	0	0	0
bcBTRA	1914	839	5	99	2	969	253	0	0	0
bcBLEW	1912	731	3	75	1	1102	225	0	0	0
bcARVQ	1910	721	8	135	1	1045	236	0	0	0
bcARPC	1909	742	3	69	3	1092	208	0	0	0
bcAIUJ	1909	728	4	84	3	1090	250	0	0	0
bcAHPI	1908	833	6	83	3	983	234	0	0	0
bcBMQW	1907	833	3	90	4	977	225	0	0	0
bcBTND	1904	725	5	64	0	1110	231	0	0	0
bcARQO	1903	806	11	100	0	986	245	0	0	0
bcAPKJ	1901	757	1	73	2	1068	229	0	0	0
bcBVAL	1901	874	1	78	5	943	258	0	0	0
bcAZNZ	1900	738	23	58	3	1078	248	0	0	0
bcBWYP	1899	886	7	67	1	938	264	0	0	0
bcBMUE	1899	804	8	51	3	1033	238	0	0	0
bcBPRM	1897	771	3	68	5	1050	209	0	0	0
bcBEAA	1896	726	9	108	2	1051	231	0	0	0
bcAXRZ	1896	676	9	69	6	1136	228	0	0	0
bcARWI	1894	774	5	78	2	1035	241	0	0	0
bcCASJ	1894	749	13	72	2	1058	252	0	0	0
bcAFLP	1893	754	11	75	4	1049	242	0	0	0
bcARTL	1890	671	7	68	4	1140	234	0	0	0
bcBEBV	1889	769	9	71	1	1039	228	0	0	0
bcATMO	1888	747	26	91	2	1022	228	0	0	0
bcAZMZ	1887	846	3	79	1	958	219	0	0	0
bcBSHB	1885	862	5	70	0	948	209	0	0	0
bcACKC	1884	742	44	93	4	1001	235	0	0	0
bcBCYD	1884	701	2	105	3	1073	232	0	0	0
bcAZOT	1882	796	2	92	1	991	218	0	0	0
