Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcACTS	1563	223	4	12	0	1324	180	0	0	0
bcBKCC	1560	37	3	6	0	1514	37	0	0	0
bcBHHE	1557	703	12	24	1	817	543	0	0	0
bcBJZE	1556	42	2	11	0	1501	37	0	0	0
bcBEAK	1551	207	2	10	0	1332	158	0	0	0
bcACSV	1549	553	11	22	1	962	415	0	0	0
bcBUJI	1548	707	12	39	2	788	579	0	0	0
bcAPSN	1544	178	4	12	0	1350	155	0	0	0
bcBXBG	1542	688	7	31	0	816	509	0	0	0
bcADTM	1538	554	6	26	1	951	397	0	0	0
bcBNUX	1533	90	4	4	0	1435	70	0	0	0
bcBNYM	1531	596	11	24	0	900	441	0	0	0
bcARFJ	1527	207	4	11	0	1305	155	0	0	0
bcBNEI	1526	429	4	16	0	1077	280	0	0	0
bcAUYS	1525	680	11	28	1	805	473	0	0	0
bcBPRU	1520	400	5	11	0	1104	257	0	0	0
bcBQYZ	1521	637	5	19	1	859	466	0	0	0
bcBIXI	1518	681	11	23	0	803	541	0	0	0
bcBSNT	1515	214	6	16	1	1278	183	0	0	0
bcBAIT	1511	76	2	3	1	1429	63	0	0	0
bcANLN	1509	401	6	19	0	1083	328	0	0	0
bcAOSS	1509	644	7	22	0	836	517	0	0	0
bcAYAP	1508	744	3	23	0	738	541	0	0	0
